timestamp,ch1,ch2,ch3,ch4,ch5,ch6
1756456631.7289371,-325.89,-374.97,-303.36,-366.12,-284.05,-254.81
1756456631.7334175,-325.89,-374.7,-303.89,-367.19,-282.97,-255.35
1756456631.74135,-326.42,-374.44,-304.16,-366.39,-284.05,-255.35
1756456631.7492244,-325.08,-375.24,-304.16,-366.66,-284.05,-255.88
1756456631.7571018,-325.62,-374.44,-303.63,-367.19,-283.51,-255.61
1756456631.769478,-326.42,-373.9,-303.36,-366.93,-283.51,-255.35
1756456631.7773771,-325.89,-374.7,-303.36,-367.46,-283.51,-256.15
1756456631.7852614,-325.89,-374.17,-303.36,-366.66,-283.78,-255.35
1756456631.7932277,-325.89,-374.44,-303.63,-367.46,-283.51,-255.88
1756456631.8011584,-325.08,-374.97,-303.36,-366.66,-282.7,-254.54
1756456631.8090224,-325.89,-374.17,-303.63,-367.19,-284.05,-255.08
1756456631.8135095,-326.16,-374.7,-304.16,-367.46,-284.31,-256.42
1756456631.8214743,-325.89,-373.9,-303.09,-367.19,-283.51,-255.88
1756456631.8250146,-325.62,-373.9,-303.36,-365.85,-284.05,-255.08
1756456631.8295076,-325.89,-374.17,-302.82,-366.93,-284.31,-256.15
1756456631.8329563,-325.62,-374.17,-303.09,-367.19,-283.78,-256.69
1756456631.8374476,-325.62,-374.44,-303.63,-366.66,-283.51,-255.88
1756456631.845329,-326.69,-374.7,-303.36,-366.66,-283.78,-256.15
1756456631.8532934,-326.16,-374.44,-303.63,-366.12,-283.24,-254.81
1756456631.8611858,-325.08,-374.17,-303.36,-366.12,-284.05,-255.35
1756456631.8690648,-325.62,-373.9,-304.43,-366.93,-283.51,-255.08
1756456631.8735478,-325.08,-374.7,-303.89,-366.12,-284.05,-255.35
1756456631.8769648,-325.08,-374.7,-303.89,-366.39,-284.05,-255.35
1756456631.8814468,-325.08,-374.44,-303.63,-366.66,-283.78,-255.61
1756456631.8894384,-325.89,-374.7,-302.82,-367.19,-283.51,-255.88
1756456631.8972301,-325.35,-373.9,-303.63,-366.66,-284.05,-255.61
1756456631.90515,-325.08,-374.7,-304.43,-366.12,-283.51,-256.42
1756456631.9131434,-325.62,-374.7,-304.16,-367.19,-284.05,-255.88
1756456631.9210808,-325.08,-374.7,-303.89,-366.66,-283.51,-255.35
1756456631.9255707,-325.35,-373.9,-303.89,-367.19,-283.24,-256.15
1756456631.9289901,-325.62,-373.36,-303.63,-367.46,-283.24,-255.88
1756456631.9334753,-325.62,-373.36,-303.63,-367.46,-284.05,-255.35
1756456631.9368906,-324.55,-374.17,-303.63,-367.46,-283.51,-254.81
1756456631.9414227,-325.08,-375.24,-303.63,-367.19,-283.51,-255.35
1756456631.9448786,-325.62,-375.24,-303.36,-366.93,-282.97,-254.81
1756456631.9494038,-325.89,-374.7,-303.09,-367.19,-283.24,-256.15
1756456631.9573588,-325.89,-374.17,-304.97,-367.19,-284.05,-255.35
1756456631.9653182,-325.62,-374.44,-303.89,-367.46,-282.97,-254.81
1756456631.9732032,-325.35,-373.36,-304.43,-366.66,-283.24,-257.22
1756456631.9811606,-325.89,-374.7,-303.36,-366.12,-284.31,-255.35
1756456631.9856408,-324.82,-374.7,-303.36,-366.39,-284.31,-255.35
1756456631.9890516,-325.08,-373.9,-304.16,-366.66,-283.78,-255.08
1756456631.9935231,-325.62,-373.1,-303.89,-366.93,-284.05,-255.35
